,punctuality,lying,happiness,energy-levels,internet-usage,loneliness,assertiveness,workaholism,age,height,weight,siblings,gender,dominant-hand,locality
306,i am always on time,sometimes,,4.0,few hours a day,4.0,4.0,2.0,15.0,174.0,63.0,1.0,female,right handed,city
748,i am often running late,sometimes,3.0,5.0,less than an hour a day,3.0,5.0,2.0,15.0,160.0,51.0,2.0,female,right handed,city
202,i am often early,sometimes,4.0,4.0,few hours a day,3.0,4.0,2.0,15.0,181.0,63.0,0.0,male,right handed,city
158,i am often running late,sometimes,3.0,5.0,few hours a day,5.0,3.0,2.0,15.0,160.0,48.0,2.0,female,right handed,village
128,i am always on time,only to avoid hurting someone,5.0,5.0,few hours a day,5.0,1.0,3.0,15.0,173.0,49.0,3.0,female,left handed,city
263,i am often running late,only to avoid hurting someone,5.0,3.0,few hours a day,1.0,5.0,1.0,15.0,176.0,53.0,3.0,female,right handed,city
265,i am always on time,sometimes,4.0,4.0,most of the day,3.0,3.0,1.0,15.0,170.0,49.0,1.0,female,right handed,city
132,i am always on time,sometimes,2.0,3.0,most of the day,5.0,3.0,5.0,15.0,170.0,51.0,1.0,female,right handed,village
950,i am always on time,sometimes,3.0,3.0,most of the day,5.0,2.0,3.0,15.0,190.0,85.0,0.0,male,left handed,village
312,i am often early,sometimes,4.0,5.0,few hours a day,3.0,4.0,1.0,15.0,170.0,75.0,1.0,male,right handed,city
338,i am often running late,everytime it suits me,3.0,4.0,few hours a day,4.0,5.0,2.0,15.0,165.0,48.0,3.0,female,left handed,city
321,i am always on time,sometimes,3.0,4.0,few hours a day,3.0,3.0,3.0,16.0,162.0,55.0,0.0,female,right handed,city
882,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,4.0,2.0,16.0,168.0,54.0,1.0,female,right handed,city
490,i am always on time,only to avoid hurting someone,4.0,4.0,less than an hour a day,3.0,5.0,2.0,16.0,168.0,50.0,1.0,female,right handed,city
119,i am often early,only to avoid hurting someone,5.0,5.0,few hours a day,2.0,2.0,2.0,16.0,161.0,54.0,1.0,female,right handed,village
190,i am always on time,sometimes,3.0,3.0,few hours a day,4.0,2.0,3.0,16.0,158.0,48.0,1.0,female,left handed,city
935,i am often running late,sometimes,3.0,5.0,few hours a day,3.0,5.0,1.0,16.0,164.0,60.0,1.0,female,right handed,city
560,i am often running late,everytime it suits me,5.0,4.0,less than an hour a day,4.0,5.0,4.0,16.0,,57.0,2.0,female,right handed,village
351,i am often running late,sometimes,4.0,5.0,few hours a day,3.0,3.0,4.0,16.0,169.0,63.0,1.0,female,right handed,village
